,sector,subsector,iso3_country,co2e_100yr,continent_ct
0,fossil-fuel-operations,coal-mining,AFG,153379,Asia
1,waste,solid-waste-disposal,AGO,386270,Africa
2,fossil-fuel-operations,coal-mining,ALB,18381,Europe
3,mineral-extraction,copper-mining,ALB,17483,Europe
4,waste,solid-waste-disposal,ALB,51703,Europe
5,waste,solid-waste-disposal,AND,71485,Europe
6,waste,solid-waste-disposal,ARE,342827,Asia
7,fossil-fuel-operations,coal-mining,ARG,9897,South America
8,mineral-extraction,copper-mining,ARG,57190,South America
9,waste,solid-waste-disposal,ARG,208257,South America
10,mineral-extraction,copper-mining,ARM,413715,Asia
11,waste,solid-waste-disposal,ARM,253019,Asia
12,fossil-fuel-operations,coal-mining,AUS,794490,Oceania
13,mineral-extraction,copper-mining,AUS,99169,Oceania
14,waste,solid-waste-disposal,AUS,126764,Oceania
15,waste,solid-waste-disposal,AUT,13032,Europe
16,mineral-extraction,copper-mining,AZE,52297,Asia
17,waste,solid-waste-disposal,BEL,6094,Europe
18,waste,solid-waste-disposal,BEN,7188,Africa
19,waste,solid-waste-disposal,BFA,16166,Africa
20,fossil-fuel-operations,coal-mining,BGD,269734,Asia
21,waste,solid-waste-disposal,BGD,378194,Asia
22,fossil-fuel-operations,coal-mining,BGR,191838,Europe
23,mineral-extraction,copper-mining,BGR,50282,Europe
24,waste,solid-waste-disposal,BGR,55995,Europe
25,fossil-fuel-operations,coal-mining,BIH,99011,Europe
26,waste,solid-waste-disposal,BIH,373126,Europe
27,waste,solid-waste-disposal,BLR,79065,Europe
28,waste,solid-waste-disposal,BLZ,152229,North America
29,mineral-extraction,copper-mining,BOL,2266,South America
30,waste,solid-waste-disposal,BOL,326904,South America
31,fossil-fuel-operations,coal-mining,BRA,44399,South America
32,mineral-extraction,copper-mining,BRA,106869,South America
33,waste,solid-waste-disposal,BRA,176666,South America
34,waste,solid-waste-disposal,BRN,3066,Asia
35,fossil-fuel-operations,coal-mining,BTN,1005,Asia
36,fossil-fuel-operations,coal-mining,BWA,143363,Africa
37,mineral-extraction,copper-mining,BWA,94675,Africa
38,waste,solid-waste-disposal,BWA,216843,Africa
39,fossil-fuel-operations,coal-mining,CAN,395320,North America
40,mineral-extraction,copper-mining,CAN,140894,North America
41,waste,solid-waste-disposal,CAN,64970,North America
42,waste,solid-waste-disposal,CHE,784,Europe
43,mineral-extraction,copper-mining,CHL,292227,South America
44,waste,solid-waste-disposal,CHL,348249,South America
45,fossil-fuel-operations,coal-mining,CHN,852813,Asia
46,mineral-extraction,copper-mining,CHN,212856,Asia
47,waste,solid-waste-disposal,CHN,95850,Asia
48,waste,solid-waste-disposal,CMR,276882,Africa
49,mineral-extraction,copper-mining,COD,16028,Africa
50,waste,solid-waste-disposal,COD,236771,Africa
51,fossil-fuel-operations,coal-mining,COL,784843,South America
52,mineral-extraction,copper-mining,COL,3857,South America
53,waste,solid-waste-disposal,COL,228445,South America
54,waste,solid-waste-disposal,CRI,231589,North America
55,waste,solid-waste-disposal,CUB,172021,North America
56,mineral-extraction,copper-mining,CYP,0,Europe
57,waste,solid-waste-disposal,CYP,40544,Europe
58,fossil-fuel-operations,coal-mining,CZE,875316,Europe
59,waste,solid-waste-disposal,CZE,13883,Europe
60,fossil-fuel-operations,coal-mining,DEU,631577,Europe
61,waste,solid-waste-disposal,DEU,7576,Europe
62,waste,solid-waste-disposal,DNK,16963,Europe
63,mineral-extraction,copper-mining,DOM,95233,North America
64,waste,solid-waste-disposal,DOM,46517,North America
65,waste,solid-waste-disposal,DZA,65838,Africa
66,waste,solid-waste-disposal,ECU,242833,South America
67,fossil-fuel-operations,coal-mining,EGY,4304,Africa
68,waste,solid-waste-disposal,EGY,688836,Africa
69,mineral-extraction,copper-mining,ERI,87392,Africa
70,waste,solid-waste-disposal,ERI,67129,Africa
71,fossil-fuel-operations,coal-mining,ESP,86096,Europe
72,mineral-extraction,copper-mining,ESP,94939,Europe
73,waste,solid-waste-disposal,ESP,32055,Europe
74,waste,solid-waste-disposal,EST,6755,Europe
75,fossil-fuel-operations,coal-mining,ETH,156403,Africa
76,waste,solid-waste-disposal,ETH,234367,Africa
77,mineral-extraction,copper-mining,FIN,218970,Europe
78,waste,solid-waste-disposal,FIN,15015,Europe
79,waste,solid-waste-disposal,FJI,193297,Oceania
80,waste,solid-waste-disposal,FRA,13739,Europe
81,waste,solid-waste-disposal,GAB,240271,Africa
82,fossil-fuel-operations,coal-mining,GBR,65253,Europe
83,waste,solid-waste-disposal,GBR,22394,Europe
84,fossil-fuel-operations,coal-mining,GEO,213089,Asia
85,waste,solid-waste-disposal,GEO,397418,Asia
86,waste,solid-waste-disposal,GHA,181784,Africa
87,waste,solid-waste-disposal,GIN,206126,Africa
88,waste,solid-waste-disposal,GLP,18536,North America
89,waste,solid-waste-disposal,GMB,154013,Africa
90,fossil-fuel-operations,coal-mining,GRC,173450,Europe
91,waste,solid-waste-disposal,GRC,164833,Europe
92,waste,solid-waste-disposal,GTM,62304,North America
93,waste,solid-waste-disposal,GUF,9408,South America
94,waste,solid-waste-disposal,GUY,116969,South America
95,waste,solid-waste-disposal,HND,505400,North America
96,waste,solid-waste-disposal,HRV,18620,Europe
97,waste,solid-waste-disposal,HTI,156098,North America
98,fossil-fuel-operations,coal-mining,HUN,63577,Europe
99,waste,solid-waste-disposal,HUN,13458,Europe
100,fossil-fuel-operations,coal-mining,IDN,62004,Asia
101,mineral-extraction,copper-mining,IDN,1347929,Asia
102,waste,solid-waste-disposal,IDN,21271,Asia
103,fossil-fuel-operations,coal-mining,IND,83849,Asia
104,mineral-extraction,copper-mining,IND,7775,Asia
105,waste,solid-waste-disposal,IND,50028,Asia
106,waste,solid-waste-disposal,IRL,14579,Europe
107,fossil-fuel-operations,coal-mining,IRN,31400,Asia
108,mineral-extraction,copper-mining,IRN,168001,Asia
109,waste,solid-waste-disposal,IRN,242225,Asia
110,waste,solid-waste-disposal,IRQ,237143,Asia
111,waste,solid-waste-disposal,ISL,9310,Europe
112,waste,solid-waste-disposal,ISR,330365,Asia
113,waste,solid-waste-disposal,ITA,19995,Europe
114,waste,solid-waste-disposal,JOR,602548,Asia
115,fossil-fuel-operations,coal-mining,JPN,125845,Asia
116,waste,solid-waste-disposal,JPN,124695,Asia
117,fossil-fuel-operations,coal-mining,KAZ,1574316,Asia
118,mineral-extraction,copper-mining,KAZ,116017,Asia
119,waste,solid-waste-disposal,KAZ,419222,Asia
120,waste,solid-waste-disposal,KEN,255341,Africa
121,fossil-fuel-operations,coal-mining,KGZ,14412,Asia
122,mineral-extraction,copper-mining,KGZ,19170,Asia
123,waste,solid-waste-disposal,KGZ,385354,Asia
124,fossil-fuel-operations,coal-mining,KHM,8483,Asia
