year,iso3_country,sector,subsector,asset_type,co2e_100yr,activity,capacity,continent_ct
2017,CHN,manufacturing,aluminum,Smelting,88775099,35905000.0,547380000.0,Asia
2017,CAN,manufacturing,aluminum,Smelting,7271009,2940751.0,39756000.0,North America
2017,RUS,manufacturing,aluminum,Smelting,6140053,2483344.0,53184000.0,Europe
2017,IND,manufacturing,aluminum,Smelting,6044205,2444574.0,45684000.0,Asia
2017,ARE,manufacturing,aluminum,Smelting,5004759,2024171.0,33456000.0,Asia
2017,DEU,manufacturing,aluminum,Smelting,4254943,1720903.0,6612000.0,Europe
2017,AUS,manufacturing,aluminum,Smelting,3736908,1511388.0,19584000.0,Oceania
2017,FRA,manufacturing,aluminum,Smelting,3320555,1342993.0,5160000.0,Europe
2017,BHR,manufacturing,aluminum,Smelting,2961926,1197948.0,19800000.0,Asia
2017,SAU,manufacturing,aluminum,Smelting,2857814,1155838.0,19104000.0,Asia
2017,USA,manufacturing,aluminum,Smelting,2495367,1009254.0,13644000.0,North America
2017,BRA,manufacturing,aluminum,Smelting,2373029,959770.0,9060000.0,South America
2017,NOR,manufacturing,aluminum,Smelting,2043455,826473.0,17700000.0,Europe
2017,ZAF,manufacturing,aluminum,Smelting,1758666,711290.0,8688000.0,Africa
2017,MYS,manufacturing,aluminum,Smelting,1714667,693494.0,12960000.0,Asia
2017,GRC,manufacturing,aluminum,Smelting,1467222,593414.0,2280000.0,Europe
2017,MOZ,manufacturing,aluminum,Smelting,1396730,564906.0,6900000.0,Africa
2017,ISL,manufacturing,aluminum,Smelting,1198362,484681.0,10380000.0,Europe
2017,QAT,manufacturing,aluminum,Smelting,1188361,480630.0,7944000.0,Asia
2017,ARG,manufacturing,aluminum,Smelting,1034075,418232.0,3948000.0,South America
2017,EGY,manufacturing,aluminum,Smelting,777310,314384.0,3840000.0,Africa
2017,NZL,manufacturing,aluminum,Smelting,755625,305613.0,3960000.0,Oceania
2017,OMN,manufacturing,aluminum,Smelting,718044,290411.0,4800000.0,Asia
2017,IRN,manufacturing,aluminum,Smelting,636652,257493.0,4812000.0,Asia
2017,IDN,manufacturing,aluminum,Smelting,476297,192637.0,3600000.0,Asia
2017,KAZ,manufacturing,aluminum,Smelting,420729,170164.0,3180000.0,Asia
2017,GBR,manufacturing,aluminum,Smelting,293444,118684.0,456000.0,Europe
2017,TUR,manufacturing,aluminum,Smelting,238148,96322.0,1800000.0,Asia
2017,SWE,manufacturing,aluminum,Smelting,182870,73962.0,1584000.0,Europe
2017,TJK,manufacturing,aluminum,Smelting,158767,64212.0,1200000.0,Asia
2017,ROU,manufacturing,aluminum,Smelting,156549,63316.0,1356000.0,Europe
2017,CMR,manufacturing,aluminum,Smelting,121456,49120.0,600000.0,Africa
2017,GHA,manufacturing,aluminum,Smelting,97165,39299.0,480000.0,Africa
2017,SVK,manufacturing,aluminum,Smelting,96979,39221.0,840000.0,Europe
2017,AZE,manufacturing,aluminum,Smelting,79383,32106.0,600000.0,Asia
2017,SVN,manufacturing,aluminum,Smelting,69269,28017.0,600000.0,Europe
2017,CHN,manufacturing,cement,Dry,820160838,950378190.0,18472020000.0,Asia
2017,IND,manufacturing,cement,Dry,199708169,223722519.0,3796588260.0,Asia
2017,VNM,manufacturing,cement,Dry,62881756,75241363.0,1207053432.0,Asia
2017,USA,manufacturing,cement,Dry,58771019,69698784.0,1548303600.0,North America
2017,IDN,manufacturing,cement,Dry,45871770,54888004.0,980587488.0,Asia
2017,KOR,manufacturing,cement,Dry,37660958,43640420.0,632656812.0,Asia
2017,IRN,manufacturing,cement,Dry,32636952,39629064.0,1349564136.0,Asia
2017,TUR,manufacturing,cement,Dry,32250411,39159552.0,1080514128.0,Asia
2017,SAU,manufacturing,cement,Dry,31952659,38798006.0,764708520.0,Asia
2017,BRA,manufacturing,cement,Dry,30631405,38497050.0,944723628.0,South America
2017,MEX,manufacturing,cement,Dry,29926207,35499534.0,748074240.0,North America
2017,THA,manufacturing,cement,Dry,27521659,33566862.0,574560000.0,Asia
2017,JPN,manufacturing,cement,Dry,27736309,32140019.0,649020000.0,Asia
2017,PAK,manufacturing,cement,Dry,20513965,24546046.0,728868000.0,Asia
2017,DEU,manufacturing,cement,Dry,19258093,24376632.0,560100000.0,Europe
2017,RUS,manufacturing,cement,Wet,23460221,21705228.0,755253156.0,Europe
2017,EGY,manufacturing,cement,Dry,17377898,20549627.0,886009260.0,Africa
2017,ESP,manufacturing,cement,Dry,14643844,18012123.0,540908160.0,Europe
