sector,subsector,iso3_country,co2e_100yr,continent_ct
power,electricity-generation,ABW,1563000,North America
forestry-and-land-use,forest-land-clearing,ABW,0,North America
forestry-and-land-use,forest-land-degradation,ABW,0,North America
forestry-and-land-use,forest-land-fires,ABW,0,North America
transportation,international-aviation,ABW,339168,North America
forestry-and-land-use,net-forest-land,ABW,-236,North America
forestry-and-land-use,net-shrubgrass,ABW,-44855,North America
forestry-and-land-use,net-wetland,ABW,-62,North America
forestry-and-land-use,removals,ABW,-504,North America
forestry-and-land-use,shrubgrass-fires,ABW,0,North America
waste,wastewater-treatment-and-discharge,ABW,105,North America
forestry-and-land-use,wetland-fires,ABW,0,North America
fossil-fuel-operations,coal-mining,AFG,153379,Asia
agriculture,cropland-fires,AFG,17357,Asia
transportation,domestic-aviation,AFG,3591,Asia
agriculture,enteric-fermentation-cattle-pasture,AFG,5989,Asia
forestry-and-land-use,forest-land-clearing,AFG,7,Asia
forestry-and-land-use,forest-land-degradation,AFG,0,Asia
forestry-and-land-use,forest-land-fires,AFG,24,Asia
transportation,international-aviation,AFG,15421,Asia
agriculture,manure-left-on-pasture-cattle,AFG,1364,Asia
forestry-and-land-use,net-forest-land,AFG,-14118,Asia
forestry-and-land-use,net-shrubgrass,AFG,29771,Asia
forestry-and-land-use,net-wetland,AFG,144,Asia
fossil-fuel-operations,oil-and-gas-refining,AFG,62495,Asia
forestry-and-land-use,removals,AFG,655,Asia
agriculture,rice-cultivation,AFG,0,Asia
transportation,road-transportation,AFG,68898,Asia
forestry-and-land-use,shrubgrass-fires,AFG,79,Asia
agriculture,synthetic-fertilizer-application,AFG,1462,Asia
waste,wastewater-treatment-and-discharge,AFG,11473,Asia
forestry-and-land-use,water-reservoirs,AFG,10239,Asia
forestry-and-land-use,wetland-fires,AFG,0,Asia
agriculture,cropland-fires,AGO,70827,Africa
transportation,domestic-aviation,AGO,2837,Africa
power,electricity-generation,AGO,194600,Africa
agriculture,enteric-fermentation-cattle-pasture,AGO,56627,Africa
forestry-and-land-use,forest-land-clearing,AGO,1219105,Africa
forestry-and-land-use,forest-land-degradation,AGO,45442,Africa
forestry-and-land-use,forest-land-fires,AGO,18738120,Africa
transportation,international-aviation,AGO,398241,Africa
