year,iso3_country,sector,subsector,asset_type,co2e_100yr,activity,capacity,continent_ct
2022,CHN,manufacturing,aluminum,Smelting,99963182,40430015.0,547380000.0,Asia
2022,IND,manufacturing,aluminum,Smelting,7023278,2840557.0,45684000.0,Asia
2022,CAN,manufacturing,aluminum,Smelting,6889977,2786644.0,39756000.0,North America
2022,RUS,manufacturing,aluminum,Smelting,6265951,2534259.0,53184000.0,Europe
2022,ARE,manufacturing,aluminum,Smelting,5903848,2387803.0,33456000.0,Asia
2022,AUS,manufacturing,aluminum,Smelting,3790380,1533018.0,19584000.0,Oceania
2022,BHR,manufacturing,aluminum,Smelting,3494029,1413154.0,19800000.0,Asia
2022,SAU,manufacturing,aluminum,Smelting,3371208,1363484.0,19104000.0,Asia
2022,DEU,manufacturing,aluminum,Smelting,3282483,1327595.0,6612000.0,Europe
2022,FRA,manufacturing,aluminum,Smelting,2561646,1036053.0,5160000.0,Europe
2022,USA,manufacturing,aluminum,Smelting,2364601,956357.0,13644000.0,North America
2022,BRA,manufacturing,aluminum,Smelting,2218042,897084.0,9060000.0,South America
2022,NOR,manufacturing,aluminum,Smelting,2085345,843421.0,17700000.0,Europe
2022,MYS,manufacturing,aluminum,Smelting,1992417,805830.0,12960000.0,Asia
2022,ZAF,manufacturing,aluminum,Smelting,1696867,686298.0,8688000.0,Africa
2022,QAT,manufacturing,aluminum,Smelting,1401846,566976.0,7944000.0,Asia
2022,MOZ,manufacturing,aluminum,Smelting,1347652,545055.0,6900000.0,Africa
2022,ISL,manufacturing,aluminum,Smelting,1222935,494619.0,10380000.0,Europe
2022,GRC,manufacturing,aluminum,Smelting,1131889,457795.0,2280000.0,Europe
2022,ARG,manufacturing,aluminum,Smelting,966537,390917.0,3948000.0,South America
2022,OMN,manufacturing,aluminum,Smelting,847037,342582.0,4800000.0,Asia
2022,NZL,manufacturing,aluminum,Smelting,766435,309984.0,3960000.0,Oceania
2022,EGY,manufacturing,aluminum,Smelting,750000,303335.0,3840000.0,Africa
2022,IRN,manufacturing,aluminum,Smelting,739777,299207.0,4812000.0,Asia
2022,IDN,manufacturing,aluminum,Smelting,553448,223843.0,3600000.0,Asia
2022,KAZ,manufacturing,aluminum,Smelting,488880,197727.0,3180000.0,Asia
2022,TUR,manufacturing,aluminum,Smelting,276724,111920.0,1800000.0,Asia
2022,GBR,manufacturing,aluminum,Smelting,226377,91560.0,456000.0,Europe
2022,SWE,manufacturing,aluminum,Smelting,186622,75477.0,1584000.0,Europe
2022,TJK,manufacturing,aluminum,Smelting,184483,74615.0,1200000.0,Asia
2022,ROU,manufacturing,aluminum,Smelting,159758,64617.0,1356000.0,Europe
2022,CMR,manufacturing,aluminum,Smelting,117188,47397.0,600000.0,Africa
2022,SVK,manufacturing,aluminum,Smelting,98966,40027.0,840000.0,Europe
2022,GHA,manufacturing,aluminum,Smelting,93749,37918.0,480000.0,Africa
2022,AZE,manufacturing,aluminum,Smelting,92243,37307.0,600000.0,Asia
2022,SVN,manufacturing,aluminum,Smelting,70691,28591.0,600000.0,Europe
2022,AUS,mineral-extraction,bauxite-mining,bauxite-mine,760274,100419467.0,0.0,Oceania
2022,GIN,mineral-extraction,bauxite-mining,bauxite-mine,1823162,37885419.0,0.0,Africa
2022,BRA,mineral-extraction,bauxite-mining,bauxite-mine,510426,28662636.0,0.0,South America
2022,IDN,mineral-extraction,bauxite-mining,bauxite-mine,1066286,24069655.0,0.0,Asia
2022,CHN,mineral-extraction,bauxite-mining,bauxite-mine,830360,18744015.0,0.0,Asia
2022,JAM,mineral-extraction,bauxite-mining,bauxite-mine,997704,12774596.0,0.0,North America
2022,IND,mineral-extraction,bauxite-mining,bauxite-mine,524793,11846346.0,0.0,Asia
2022,VNM,mineral-extraction,bauxite-mining,bauxite-mine,360684,8141853.0,0.0,Asia
2022,SAU,mineral-extraction,bauxite-mining,bauxite-mine,395982,6470000.0,0.0,Asia
2022,RUS,mineral-extraction,bauxite-mining,bauxite-mine,451422,5780000.0,0.0,Europe
2022,SLE,mineral-extraction,bauxite-mining,bauxite-mine,124040,2800000.0,0.0,Africa
2022,BIH,mineral-extraction,bauxite-mining,bauxite-mine,114743,2590133.0,0.0,Europe
2022,GHA,mineral-extraction,bauxite-mining,bauxite-mine,68062,1536395.0,0.0,Africa
2022,KAZ,mineral-extraction,bauxite-mining,bauxite-mine,57816,1305106.0,0.0,Asia
2022,MNE,mineral-extraction,bauxite-mining,bauxite-mine,15477,349367.0,0.0,Europe
2022,MYS,mineral-extraction,bauxite-mining,bauxite-mine,12897,291139.0,0.0,Asia
2022,MOZ,mineral-extraction,bauxite-mining,bauxite-mine,445,10039.0,0.0,Africa
2022,IRN,mineral-extraction,bauxite-mining,bauxite-mine,93,2098.0,0.0,Asia
2022,SLB,mineral-extraction,bauxite-mining,bauxite-mine,0,0.0,0.0,Oceania
2022,TUR,mineral-extraction,bauxite-mining,bauxite-mine,0,0.0,0.0,Asia
2022,HUN,mineral-extraction,bauxite-mining,bauxite-mine,0,0.0,0.0,Europe
2022,GUY,mineral-extraction,bauxite-mining,bauxite-mine,0,0.0,0.0,South America
2022,SUR,mineral-extraction,bauxite-mining,bauxite-mine,0,0.0,0.0,South America
2022,CHN,manufacturing,cement,Dry,702503598,843754272.0,18472020000.0,Asia
2022,IND,manufacturing,cement,Dry,241802655,281475072.0,3796588260.0,Asia
2022,VNM,manufacturing,cement,Dry,61032666,73551111.0,1207053432.0,Asia
2022,USA,manufacturing,cement,Dry,53902588,63936369.0,1548303600.0,North America
2022,IDN,manufacturing,cement,Dry,41692403,50244013.0,980587488.0,Asia
2022,SAU,manufacturing,cement,Dry,33859358,41513149.0,764708520.0,Asia
2022,BRA,manufacturing,cement,Dry,31233560,39515940.0,944723628.0,South America
2022,IRN,manufacturing,cement,Dry,31039776,38055972.0,1349564136.0,Asia
2022,MEX,manufacturing,cement,Dry,31115600,37139956.0,748074240.0,North America
2022,TUR,manufacturing,cement,Dry,25375718,31111771.0,1080514128.0,Asia
2022,KOR,manufacturing,cement,Dry,25732800,30906840.0,632656812.0,Asia
2022,PAK,manufacturing,cement,Dry,24906675,30015321.0,728868000.0,Asia
2022,THA,manufacturing,cement,Dry,23944077,29380402.0,574560000.0,Asia
2022,JPN,manufacturing,cement,Dry,23860782,28658345.0,649020000.0,Asia
2022,EGY,manufacturing,cement,Dry,22098821,26186685.0,886009260.0,Africa
2022,PHL,manufacturing,cement,Dry,17140408,20234462.0,299226660.0,Asia
2022,DEU,manufacturing,cement,Dry,15830292,20182632.0,560100000.0,Europe
2022,DZA,manufacturing,cement,Dry,12266026,15777424.0,271656000.0,Africa
2022,MYS,manufacturing,cement,Dry,12738767,15351637.0,240840000.0,Asia
2022,NGA,manufacturing,cement,Dry,12082274,14928483.0,569622864.0,Africa
2022,RUS,manufacturing,cement,Wet,13177476,13322292.0,755253156.0,Europe
2022,ESP,manufacturing,cement,Dry,10212102,12891447.0,540908160.0,Europe
2022,IND,manufacturing,cement,Unspecified,10794273,12518505.0,158994960.0,Asia
2022,ITA,manufacturing,cement,Dry,9111898,10996056.0,451080000.0,Europe
2022,FRA,manufacturing,cement,Dry,8094942,10005308.0,364680000.0,Europe
2022,COL,manufacturing,cement,Dry,7971656,9783047.0,163248000.0,South America
2022,POL,manufacturing,cement,Dry,7460863,9594635.0,193920000.0,Europe
2022,ARG,manufacturing,cement,Dry,6374639,7823129.0,289128000.0,South America
2022,PER,manufacturing,cement,Dry,6255555,7677004.0,119700000.0,South America
2022,CAN,manufacturing,cement,Dry,6178084,7655896.0,208692000.0,North America
2022,ETH,manufacturing,cement,Dry,5982682,7392001.0,157752000.0,Africa
2022,MAR,manufacturing,cement,Dry,5633925,7246740.0,240729228.0,Africa
2022,RUS,manufacturing,cement,Dry,5889576,7189236.0,407565780.0,Europe
2022,NPL,manufacturing,cement,Dry,5563812,6705000.0,134100000.0,Asia
2022,ARE,manufacturing,cement,Dry,5393515,6612735.0,368177148.0,Asia
2022,ZAF,manufacturing,cement,Dry,5344321,6603265.0,218719980.0,Africa
2022,KHM,manufacturing,cement,Dry,5343602,6439622.0,92880000.0,Asia
2022,UZB,manufacturing,cement,Dry,5016857,6123967.0,91358400.0,Asia
2022,IRQ,manufacturing,cement,Dry,4917684,6029304.0,183881544.0,Asia
2022,GBR,manufacturing,cement,Dry,4607594,5820254.0,140160000.0,Europe
2022,JPN,manufacturing,cement,Unspecified,4573704,5471814.0,79980000.0,Asia
2022,KAZ,manufacturing,cement,Dry,4352568,5313096.0,152730000.0,Asia
2022,RUS,manufacturing,cement,Unspecified,4271088,5192400.0,294364092.0,Europe
